address, amount
tz1gKhpWKASawfx2hLz6nDhswFZGXynMcdoK, 1
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1, 1
tz1U5pq84qx98BQV6BRapZPnwHZ2nzR45FCH, 1
tz1gjftp2aoEkC4xvRfNNkPjcfF2fStESgwo, 1
tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm, 1
tz1b3aAcEichUhSc7D2AdaLqPmZNNhS4uQoC, 1
tz1SyXeYfYo8TdZ7UxDX1GN4drJGd5VtJovz, 1
tz1ehhHuAQXrdXukswG2PP7TnptsEfHDxbZK, 1
tz1M3F4JLnsXpsJ3GGYy6QcQT7UY6aLxZF13, 1
tz1SR5dqLZLUTWVtRMEhE2hovoos2Gb7bmPh, 1
tz1ZR5JKcHzU8Xn5m3w3pMGHiYnHwQNPDkSm, 1
tz1SWwpTDpvf8PAYnenfsXF9bbUwJRzksJND, 1
tz1fPnqswm41oEHUWdSDn3KSvq3KCXVNeFCj, 1
tz1RxdMQhHoQKxmtwqEC8h5yLHVghHdEPqEk, 1
tz2D5Z26a4JWMrtqKs128VWMPv8k5iTo1C1k, 1
tz1gigsw3HPNSjpRdaZ6QzTUckg48fopSAGj, 1
tz1gj3xrfZLCjsZWPjMxJ66D5kTxFs1W2x2A, 1
tz1fcV2Ymd3k5rXH3W9e1bQ6yzZNpLuHit1Q, 1
tz1iJk9FYMEe17ELvPUGdzWrpZx5iVBGj4Yn, 1
tz1Lds2cV81fwSUBaDWfZVk6NG31QNQNxSzn, 1
tz1hPsSDYB5U1MGJDuH2Q9Yh8zFW6Wgq7Xdi, 1
tz1a38Je66oy9fm2AcxpGL6ULi4HMEzpGd7D, 1
tz1dEF5ZMTnBSkz2ZQPvpJjwyfeUUyGjeMtf, 1
tz2FriZ9yzGJyK3vHKp4gCpkGQrTz12W76Ra, 1
tz1QYhY8YB8q1dxuFu4C7iA8odB5RaVgNLhX, 1
tz1WAVHAc2SP6MSTP5UEPv9J2jwLHjwNpLQe, 1
tz1fJsoiGb2xsu9PtbTUdctbnrvXfEQtM6wf, 1
tz1SKUGqfkVPe6xM5xkUiJwuSsmzswD2Rk41, 1
tz1bz3RpamvkvNCLfsjN22VCqs4LCVrFnNEB, 1
tz1f4wAosUT4eq9fWo55SocsUm8x3PX9WzuR, 1
tz1bJSKfnTgc6YtKR1p6JLuV2u1F7PTr7pqs, 1
tz1TiDPcT6xcTVno2iDgp3etZmFqkUfugbQf, 1
tz1gcTtdGhHJ5E6YgRWXQHA33ewCEh68EiLQ, 1
tz1YL7pkyhZv3gpriVvzjMvGYJJR6ePoFj42, 1
tz1fFaDrCytWQiycjWSAfJkyLgQcMMmFEi2y, 1
tz1LkHXCeBwvWHyjbVKpBpuvgteawkReWn9D, 1
tz1Q73MnHroCMADATwW3eR6dGKnxfDLZww9w, 1
tz1SyJkuSFAFCQ1SUGTnuqbC5uyqj7bFtETa, 1
tz2LXbRhJdbHCsG5S6BydPLFg3YFTaGmG69S, 1
tz1i7Rb9Ppwz6E57a2KQoWHejRkUj31zunzf, 1
tz1NABW5hTM33gVgPjMHmYgaLdKoGvaek7FQ, 1
tz1UxL8tkBtWTmNus3R2XasdTnbPXaUWYw2V, 1
